common names,formulae
avro-tools,avro-tools
bufbuild/buf/buf: buf,bufbuild/buf/buf
dvc,dvc
universal-ctags,universal-ctags
poppler-qt5,poppler-qt5
nettle,nettle
xcodes,xcodes
tor,tor
libiconv,libiconv
binutils,binutils
black,black
pulumi/tap/pulumi: pulumi,pulumi/tap/pulumi
sqlmap,sqlmap
emscripten,emscripten
zoxide,zoxide
xctesthtmlreport,xctesthtmlreport
azcopy,azcopy
aws-iam-authenticator,aws-iam-authenticator
shopify/shopify/shopify-cli: shopify-cli,shopify/shopify/shopify-cli
minio/stable/mc: mc,minio/stable/mc
cabextract,cabextract
mockery,mockery
geos,geos
shivammathur/php/php: php,shivammathur/php/php
fnm,fnm
diffutils,diffutils
sevenzip,sevenzip
adwaita-icon-theme,adwaita-icon-theme
memcached,memcached
cloudflared,cloudflared
bash-completion,bash-completion
openconnect,openconnect
mkvtoolnix,mkvtoolnix
gitlab-runner,gitlab-runner
jenkins,jenkins
sccache,sccache
sdl2_image,sdl2_image
valgrind,valgrind
shivammathur/php/php@8.0: php,shivammathur/php/php@8.0
mongodb/brew/mongodb-database-tools: mongodb-database-tools,mongodb/brew/mongodb-database-tools
python@3.7: python,python@3.7
pv,pv
koekeishiya/formulae/skhd: skhd,koekeishiya/formulae/skhd
facebook/fb/idb-companion: idb-companion,facebook/fb/idb-companion
phrase-cli,phrase-cli
ocrmypdf,ocrmypdf
libuv,libuv
gdbm,gdbm
libbluray,libbluray
git-delta,git-delta
bottom,bottom
allure,allure
prettier,prettier
py3cairo,py3cairo
eslint,eslint
swagger-codegen,swagger-codegen
scipy,scipy
helmfile,helmfile
grafana,grafana
dotnet,dotnet
tilt,tilt
k3d,k3d
mosquitto,mosquitto
kubeseal,kubeseal
nodenv,nodenv
xmlstarlet,xmlstarlet
stylua,stylua
socat,socat
bundletool,bundletool
mas,mas
thrift,thrift
protobuf,protobuf@3
grpcurl,grpcurl
hello,hello
pyright,pyright
tig,tig
libx11,libx11
sourcekitten,sourcekitten
jasper,jasper
eigen,eigen
nodebrew,nodebrew
autojump,autojump
libev,libev
localstack,localstack
tomcat,tomcat
coursier,coursier/formulas/coursier
pinentry-mac,pinentry-mac
symfony-cli,symfony-cli/tap/symfony-cli
postgresql,postgresql@11
istioctl,istioctl
glfw,glfw
go,go@1.19
ddev,drud/ddev/ddev
ruff,ruff
winetricks,winetricks
c-ares,c-ares
syncthing,syncthing
mongodb,mongodb/brew/mongodb-community@5.0
upx,upx
lua-language-server,lua-language-server
cdrtools,cdrtools
rubberband,rubberband
isl,isl
glances,glances
fetch,fetch
yasm,yasm
snappy,snappy
streamlink,streamlink
docker-buildx,docker-buildx
duckdb,duckdb
php-cs-fixer,php-cs-fixer
skopeo,skopeo
xcparse,chargepoint/xcparse/xcparse
